rmaNumber,orderNumber,customerNumber,requestDate,approvedDate,returnedDate,resolvedDate,reason,status,refundAmount,comments
RMA-00495,20150,21988,2024-07-09,2024-07-10,2024-07-17,2024-07-23,Packaging Damaged,Completed,1106.61,Customer provided photos of damage.
RMA-00496,15790,22931,2022-02-16,2022-02-17,,,Missing Parts,Approved,213.69,RMA label emailed to customer.
RMA-00497,13927,23062,2024-11-14,2024-11-19,2024-12-01,,Packaging Damaged,Received,123.36,
RMA-00498,18211,23080,2023-08-27,2023-08-30,2023-09-03,2023-09-08,Quality Not Acceptable,Completed,78.22,
RMA-00499,14839,21931,2026-07-20,2026-07-20,2026-07-20,2026-07-20,Damaged in Shipping,Completed,1169.78,Replacement sent instead of refund.
RMA-00500,14284,22278,2023-02-02,2023-02-04,2023-02-09,2023-02-12,Damaged in Shipping,Completed,276.38,Customer provided photos of damage.
RMA-00501,19244,21301,2022-08-03,2022-08-07,,,Packaging Damaged,Approved,438.67,Escalated to manager.
RMA-00502,17607,22291,2023-05-25,,,,Packaging Damaged,Pending,0.0,Escalated to manager.
RMA-00503,18144,21380,2023-10-22,,,,Packaging Damaged,Pending,0.0,Escalated to manager.
RMA-00504,12381,24243,2026-04-20,2026-04-24,,,Damaged in Shipping,Approved,1184.42,
RMA-00505,17179,24495,2025-10-25,2025-10-26,,,Wrong Item Shipped,Approved,1499.23,Partial refund agreed upon.
RMA-00506,11796,23985,2026-03-08,2026-03-12,2026-03-26,,Packaging Damaged,Received,52.66,Item received and inspected.
RMA-00507,14230,22116,2026-01-07,2026-01-10,2026-01-24,2026-01-29,Quality Not Acceptable,Completed,1227.02,Replacement sent instead of refund.
RMA-00508,12172,24616,2025-04-28,2025-05-02,,,Quality Not Acceptable,Approved,28.33,
RMA-00509,14714,22203,2023-10-02,,,,Duplicate Order,Pending,0.0,
RMA-00510,18341,23977,2022-03-17,2022-03-18,,,Wrong Item Shipped,Approved,837.21,RMA label emailed to customer.
RMA-00511,14876,24704,2024-10-14,2024-10-15,,,Changed Mind,Approved,1065.04,
RMA-00512,11532,24177,2023-01-13,,,,Damaged in Shipping,Rejected,0.0,Escalated to manager.
RMA-00513,13815,22951,2023-10-29,,,,Duplicate Order,Rejected,0.0,Replacement sent instead of refund.
RMA-00514,10591,21214,2025-12-12,,,,Quality Not Acceptable,Pending,0.0,Partial refund agreed upon.
RMA-00515,14244,21945,2022-09-02,2022-09-07,2022-09-20,2022-09-22,Not as Described,Completed,34.11,Forwarded to quality control.
RMA-00516,12783,23443,2024-02-14,2024-02-16,2024-02-24,2024-03-02,Changed Mind,Completed,1024.76,Awaiting return shipment.
RMA-00517,17551,23382,2024-05-14,2024-05-17,,,Wrong Item Shipped,Approved,56.95,Replacement sent instead of refund.
RMA-00518,17162,23908,2023-07-25,,,,Damaged in Shipping,Pending,0.0,Replacement sent instead of refund.
RMA-00519,11307,21107,2024-11-24,,,,Not as Described,Pending,0.0,RMA label emailed to customer.
RMA-00520,16440,23488,2024-06-30,2024-07-05,2024-07-08,2024-07-15,Quality Not Acceptable,Completed,1165.32,Replacement sent instead of refund.
RMA-00521,15322,22202,2026-03-27,2026-03-31,2026-04-09,,Duplicate Order,Received,94.03,Awaiting return shipment.
RMA-00522,10776,20297,2026-02-14,2026-02-16,,,Not as Described,Approved,285.91,Partial refund agreed upon.
RMA-00523,16977,20230,2024-01-05,,,,Damaged in Shipping,Pending,0.0,
RMA-00524,19706,24230,2023-12-26,,,,Item Arrived Too Late,Pending,0.0,
RMA-00525,17668,20597,2022-02-23,2022-02-26,2022-03-10,,Packaging Damaged,Received,117.56,
RMA-00526,19181,21208,2023-01-30,2023-02-04,2023-02-11,,Not as Described,Received,833.3,Customer provided photos of damage.
RMA-00527,12912,24134,2023-02-13,,,,Defective Product,Pending,0.0,
RMA-00528,16386,22382,2024-05-13,2024-05-16,2024-05-22,,Damaged in Shipping,Received,732.99,
RMA-00529,16664,21391,2022-09-24,2022-09-27,2022-10-05,2022-10-06,Item Arrived Too Late,Completed,376.07,Partial refund agreed upon.
RMA-00530,14496,21424,2025-06-29,,,,Duplicate Order,Rejected,0.0,Forwarded to quality control.
RMA-00531,12296,20350,2024-01-25,,,,Defective Product,Rejected,0.0,Refund issued to original payment method.
RMA-00532,19071,23917,2023-04-25,2023-04-30,,,Missing Parts,Approved,409.59,
RMA-00533,19069,20107,2024-03-28,,,,Duplicate Order,Rejected,0.0,Awaiting return shipment.
RMA-00534,16055,20542,2022-05-29,,,,Item Arrived Too Late,Rejected,0.0,
RMA-00535,17528,22160,2025-06-03,2025-06-04,,,Missing Parts,Approved,1176.37,Customer provided photos of damage.
RMA-00536,20214,21978,2025-01-04,,,,Wrong Item Shipped,Pending,0.0,Forwarded to quality control.
RMA-00537,17552,20065,2024-07-14,,,,Damaged in Shipping,Pending,0.0,Replacement sent instead of refund.
RMA-00538,13902,20955,2022-05-02,,,,Changed Mind,Pending,0.0,
RMA-00539,19330,24599,2023-04-09,,,,Wrong Item Shipped,Rejected,0.0,Partial refund agreed upon.
RMA-00540,20015,24172,2024-07-19,,,,Changed Mind,Rejected,0.0,Item received and inspected.
RMA-00541,10613,22563,2025-10-12,2025-10-14,2025-10-18,2025-10-23,Missing Parts,Completed,474.52,Second review requested.
RMA-00542,11572,23359,2025-03-13,2025-03-17,2025-03-22,2025-03-27,Packaging Damaged,Completed,235.1,
RMA-00543,12088,21533,2023-08-26,2023-08-27,,,Defective Product,Approved,414.53,Second review requested.
RMA-00544,15548,20139,2026-01-05,2026-01-09,,,Duplicate Order,Approved,966.75,
RMA-00545,13705,21137,2023-01-31,,,,Packaging Damaged,Rejected,0.0,Forwarded to quality control.
RMA-00546,17514,20648,2023-08-17,2023-08-19,,,Missing Parts,Approved,26.04,Second review requested.
RMA-00547,13513,24383,2022-07-14,,,,Not as Described,Rejected,0.0,Customer provided photos of damage.
RMA-00548,18886,22585,2022-10-23,2022-10-25,,,Not as Described,Approved,234.18,
RMA-00549,16719,21718,2023-12-17,,,,Defective Product,Pending,0.0,Refund issued to original payment method.
RMA-00550,15405,24002,2023-09-22,,,,Changed Mind,Rejected,0.0,Replacement sent instead of refund.
RMA-00551,18829,20021,2025-04-16,2025-04-19,2025-04-25,2025-04-28,Packaging Damaged,Completed,1093.05,Replacement sent instead of refund.
RMA-00552,17743,20488,2025-06-21,2025-06-26,2025-06-29,2025-07-02,Duplicate Order,Completed,1250.1,Forwarded to quality control.
RMA-00553,14823,24421,2026-06-08,,,,Item Arrived Too Late,Pending,0.0,Escalated to manager.
RMA-00554,15120,24128,2023-06-13,,,,Duplicate Order,Pending,0.0,
RMA-00555,18966,23018,2026-03-05,,,,Not as Described,Rejected,0.0,Second review requested.
RMA-00556,10628,24709,2026-01-23,,,,Item Arrived Too Late,Rejected,0.0,RMA label emailed to customer.
RMA-00557,19996,23318,2024-05-01,,,,Changed Mind,Pending,0.0,
RMA-00558,16174,21865,2026-05-26,2026-05-31,2026-06-08,2026-06-15,Quality Not Acceptable,Completed,276.13,Second review requested.
RMA-00559,19051,20614,2026-07-20,,,,Not as Described,Pending,0.0,
RMA-00560,19772,23427,2026-03-17,,,,Duplicate Order,Pending,0.0,
RMA-00561,18223,21484,2024-02-02,2024-02-04,2024-02-07,,Missing Parts,Received,650.24,RMA label emailed to customer.
RMA-00562,18742,23072,2023-05-05,,,,Missing Parts,Rejected,0.0,
RMA-00563,13220,20862,2026-07-20,2026-07-20,,,Quality Not Acceptable,Approved,1022.62,Partial refund agreed upon.
RMA-00564,16522,23084,2025-07-09,2025-07-10,2025-07-24,2025-07-26,Wrong Item Shipped,Completed,206.93,Partial refund agreed upon.
RMA-00565,10798,22587,2023-08-01,2023-08-05,,,Item Arrived Too Late,Approved,280.45,
RMA-00566,19641,23523,2024-12-04,2024-12-08,2024-12-14,2024-12-20,Not as Described,Completed,1188.92,Item received and inspected.
RMA-00567,11201,20993,2022-12-31,2023-01-05,,,Defective Product,Approved,150.54,Forwarded to quality control.
RMA-00568,14657,22198,2025-03-31,2025-04-04,2025-04-17,2025-04-23,Missing Parts,Completed,21.38,Awaiting return shipment.
RMA-00569,14332,23770,2023-10-29,2023-10-31,,,Quality Not Acceptable,Approved,44.29,
RMA-00570,14699,24271,2025-01-30,,,,Damaged in Shipping,Rejected,0.0,Escalated to manager.
RMA-00571,13766,22184,2025-11-15,2025-11-16,,,Duplicate Order,Approved,1106.3,Refund issued to original payment method.
RMA-00572,18339,22591,2026-05-02,,,,Duplicate Order,Pending,0.0,Item received and inspected.
RMA-00573,14237,21821,2024-10-07,2024-10-09,2024-10-13,,Damaged in Shipping,Received,61.91,
RMA-00574,13120,24216,2024-06-26,2024-06-30,2024-07-06,2024-07-08,Item Arrived Too Late,Completed,794.89,Item received and inspected.
RMA-00575,10762,24259,2025-07-10,2025-07-12,2025-07-15,2025-07-22,Wrong Item Shipped,Completed,172.39,Refund issued to original payment method.
RMA-00576,20082,21170,2024-08-01,,,,Defective Product,Pending,0.0,Replacement sent instead of refund.
RMA-00577,14804,21902,2025-12-04,,,,Duplicate Order,Rejected,0.0,
RMA-00578,19225,23382,2026-01-31,2026-02-01,2026-02-06,,Packaging Damaged,Received,290.3,
RMA-00579,18511,21319,2024-11-26,2024-11-27,2024-12-01,2024-12-06,Wrong Item Shipped,Completed,195.98,Replacement sent instead of refund.
RMA-00580,18127,22345,2023-09-01,,,,Damaged in Shipping,Rejected,0.0,Escalated to manager.
RMA-00581,13812,22670,2026-05-15,2026-05-18,2026-05-27,,Item Arrived Too Late,Received,446.05,
RMA-00582,16567,20122,2022-06-16,,,,Damaged in Shipping,Rejected,0.0,
RMA-00583,10727,20265,2024-03-13,2024-03-18,,,Not as Described,Approved,43.9,Escalated to manager.
RMA-00584,10509,22218,2023-06-17,2023-06-18,,,Not as Described,Approved,192.35,Escalated to manager.
RMA-00585,13917,22284,2024-02-13,2024-02-17,,,Duplicate Order,Approved,164.96,Forwarded to quality control.
RMA-00586,15949,22203,2025-11-10,2025-11-14,2025-11-25,,Quality Not Acceptable,Received,598.6,Customer provided photos of damage.
RMA-00587,19714,24302,2026-03-01,2026-03-02,2026-03-16,,Quality Not Acceptable,Received,447.14,Awaiting return shipment.
RMA-00588,11805,24695,2025-11-19,,,,Not as Described,Rejected,0.0,Partial refund agreed upon.
RMA-00589,13681,23069,2026-02-25,,,,Missing Parts,Rejected,0.0,Forwarded to quality control.
RMA-00590,18518,23083,2022-02-14,,,,Quality Not Acceptable,Rejected,0.0,
RMA-00591,19253,23554,2023-03-16,2023-03-18,2023-03-25,2023-03-31,Wrong Item Shipped,Completed,290.17,
RMA-00592,13448,20787,2026-04-03,2026-04-06,,,Duplicate Order,Approved,100.14,Customer provided photos of damage.
RMA-00593,11891,22012,2026-01-18,2026-01-19,2026-01-23,2026-01-24,Packaging Damaged,Completed,493.52,
RMA-00594,12025,22033,2022-08-02,2022-08-04,2022-08-16,2022-08-21,Missing Parts,Completed,29.52,Second review requested.
RMA-00595,17940,22736,2023-09-12,,,,Missing Parts,Pending,0.0,
RMA-00596,11661,20797,2024-10-06,,,,Wrong Item Shipped,Pending,0.0,Awaiting return shipment.
RMA-00597,18603,20395,2023-07-10,,,,Changed Mind,Pending,0.0,Item received and inspected.
RMA-00598,19520,20345,2022-03-19,2022-03-20,,,Packaging Damaged,Approved,999.43,Refund issued to original payment method.
RMA-00599,13575,21194,2025-07-21,2025-07-22,,,Item Arrived Too Late,Approved,923.86,
RMA-00600,11521,20558,2024-03-13,,,,Wrong Item Shipped,Pending,0.0,Customer provided photos of damage.
RMA-00601,19086,21544,2026-03-31,2026-04-01,,,Item Arrived Too Late,Approved,229.76,Escalated to manager.
RMA-00602,19006,21289,2025-01-11,,,,Item Arrived Too Late,Rejected,0.0,
RMA-00603,11624,20061,2023-07-18,2023-07-20,2023-08-01,,Wrong Item Shipped,Received,43.23,Item received and inspected.
RMA-00604,12384,20172,2025-06-19,2025-06-23,2025-07-02,2025-07-05,Quality Not Acceptable,Completed,243.12,Forwarded to quality control.
RMA-00605,20176,21408,2026-02-20,2026-02-23,2026-03-07,,Duplicate Order,Received,1440.57,
RMA-00606,15007,22498,2022-11-18,,,,Quality Not Acceptable,Pending,0.0,Escalated to manager.
RMA-00607,18249,21477,2026-04-08,2026-04-09,,,Packaging Damaged,Approved,65.19,
RMA-00608,15180,21171,2022-05-11,,,,Item Arrived Too Late,Rejected,0.0,Refund issued to original payment method.
RMA-00609,17997,20393,2022-02-14,2022-02-16,2022-02-27,2022-03-06,Defective Product,Completed,76.31,
RMA-00610,19494,20070,2025-12-21,2025-12-23,2025-12-28,,Wrong Item Shipped,Received,76.49,
RMA-00611,17120,23514,2023-05-06,2023-05-08,,,Item Arrived Too Late,Approved,138.2,
RMA-00612,14377,20284,2022-11-21,2022-11-23,2022-12-06,2022-12-10,Quality Not Acceptable,Completed,1094.11,Partial refund agreed upon.
RMA-00613,16753,21614,2024-03-25,2024-03-30,,,Wrong Item Shipped,Approved,70.44,Customer provided photos of damage.
RMA-00614,18353,24950,2023-03-14,,,,Defective Product,Pending,0.0,
RMA-00615,18672,21314,2022-02-27,2022-03-04,,,Item Arrived Too Late,Approved,492.89,Refund issued to original payment method.
RMA-00616,15760,23794,2026-02-04,2026-02-09,2026-02-18,2026-02-22,Defective Product,Completed,66.35,Escalated to manager.
RMA-00617,16583,22604,2024-12-03,,,,Defective Product,Pending,0.0,
RMA-00618,17972,20568,2022-12-23,2022-12-24,2023-01-02,,Defective Product,Received,1284.52,RMA label emailed to customer.
RMA-00619,11394,22283,2026-05-14,2026-05-15,2026-05-22,2026-05-29,Missing Parts,Completed,1108.25,Second review requested.
RMA-00620,13039,20101,2025-05-29,2025-06-01,2025-06-12,,Missing Parts,Received,56.27,
RMA-00621,17177,20382,2025-11-28,2025-12-01,,,Item Arrived Too Late,Approved,44.58,Partial refund agreed upon.
